symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,1.695496030151844e-05
0,TVAE,16-8,1.6869977116584778e-05
0,TVAE,16-8,1.696404069662094e-05
0,TVAE,16-8,2.519693225622177e-05
0,TVAE,16-8,1.7100945115089417e-05
0,TVAE,16-8,1.681409776210785e-05
0,TVAE,16-8,1.6737030819058418e-05
0,TVAE,16-8,1.687486656010151e-05
0,TVAE,16-8,1.68532133102417e-05
0,TVAE,16-8,1.6857171431183815e-05
0,TVAE,16-8,1.691398210823536e-05
0,TVAE,16-8,1.6981037333607674e-05
0,TVAE,16-8,1.675216481089592e-05
0,TVAE,16-8,1.6873003914952278e-05
0,TVAE,16-8,1.6999896615743637e-05
0,TVAE,16-8,1.7165904864668846e-05
0,TVAE,16-8,1.695007085800171e-05
0,TVAE,16-8,1.9154977053403854e-05
0,TVAE,16-8,1.7313053831458092e-05
0,TVAE,16-8,1.7073936760425568e-05
0,TVAE,16-8,1.6851117834448814e-05
0,TVAE,16-8,1.6900943592190742e-05
0,TVAE,16-8,1.682201400399208e-05
0,TVAE,16-8,1.6905134543776512e-05
0,TVAE,16-8,1.7661135643720627e-05
0,TVAE,16-8,1.6903039067983627e-05
0,TVAE,16-8,1.681107096374035e-05
0,TVAE,16-8,1.722807064652443e-05
0,TVAE,16-8,1.9480008631944656e-05
0,TVAE,16-8,1.681409776210785e-05
0,TVAE,16-8,1.6876962035894394e-05
0,TVAE,16-8,1.678895205259323e-05
0,TVAE,16-8,1.67239923030138e-05
0,TVAE,16-8,1.6774982213974e-05
0,TVAE,16-8,1.701689325273037e-05
0,TVAE,16-8,1.6968930140137672e-05
0,TVAE,16-8,1.6832957044243813e-05
0,TVAE,16-8,1.705903559923172e-05
0,TVAE,16-8,1.7340993508696556e-05
0,TVAE,16-8,1.6895821318030357e-05
0,TVAE,16-8,1.706089824438095e-05
0,TVAE,16-8,1.6903970390558243e-05
0,TVAE,16-8,1.6745179891586304e-05
0,TVAE,16-8,1.7359154298901558e-05
0,TVAE,16-8,1.7300015315413475e-05
0,TVAE,16-8,1.694587990641594e-05
0,TVAE,16-8,1.7167069017887115e-05
0,TVAE,16-8,1.7430167645215988e-05
0,TVAE,16-8,1.7700018361210823e-05
0,TVAE,16-8,4.768185317516327e-05
0,TVAE,16-8,4.900991916656494e-05
0,TVAE,16-8,4.867999814450741e-05
0,TVAE,16-8,4.860479384660721e-05
0,TVAE,16-8,3.555114381015301e-05
0,TVAE,16-8,2.5178072974085808e-05
0,TVAE,16-8,1.7123064026236534e-05
0,TVAE,16-8,1.6955193132162094e-05
0,TVAE,16-8,1.6930047422647476e-05
0,TVAE,16-8,1.6874168068170547e-05
0,TVAE,16-8,1.6954028978943825e-05
0,TVAE,16-8,1.689000055193901e-05
0,TVAE,16-8,1.6920967027544975e-05
0,TVAE,16-8,1.6903039067983627e-05
0,TVAE,16-8,1.692911610007286e-05
0,TVAE,16-8,1.6872072592377663e-05
0,TVAE,16-8,1.6922131180763245e-05
0,TVAE,16-8,1.7022015526890755e-05
0,TVAE,16-8,1.701503060758114e-05
0,TVAE,16-8,1.6912119463086128e-05
0,TVAE,16-8,1.6949139535427094e-05
0,TVAE,16-8,1.6970094293355942e-05
0,TVAE,16-8,1.7347047105431557e-05
0,TVAE,16-8,1.6980106011033058e-05
0,TVAE,16-8,1.7073005437850952e-05
0,TVAE,16-8,1.6860896721482277e-05
0,TVAE,16-8,1.6922131180763245e-05
0,TVAE,16-8,1.6991980373859406e-05
0,TVAE,16-8,1.6993144527077675e-05
0,TVAE,16-8,1.691887155175209e-05
0,TVAE,16-8,1.703505404293537e-05
